country,region_code,region
Angola,AF,Africa
Argentina,SA,Latin America & Caribbean
Australia,OC,Asia & Oceania
Austria,EU,Europe
Barbados,NA,North America
Belgium,EU,Europe
Belize,NA,North America
Bolivia,SA,Latin America & Caribbean
Bosnia and Herzegovina,EU,Europe
Botswana,AF,Africa
Brazil,SA,Latin America & Caribbean
Bulgaria,EU,Europe
Burkina Faso,AF,Africa
Cameroon,AF,Africa
Canada,NA,North America
Chile,SA,Latin America & Caribbean
China,AS,Asia & Oceania
Colombia,SA,Latin America & Caribbean
Costa Rica,NA,North America
Croatia,EU,Europe
Cyprus,AS,Asia & Oceania
Denmark,EU,Europe
Ecuador,SA,Latin America & Caribbean
Egypt,AF,Africa
El Salvador,NA,North America
Estonia,EU,Europe
Finland,EU,Europe
France,EU,Europe
Georgia,AS,Asia & Oceania
Germany,EU,Europe
Greece,EU,Europe
Guatemala,NA,North America
Hong Kong,AS,Asia & Oceania
Hungary,EU,Europe
India,AS,Asia & Oceania
Indonesia,AS,Asia & Oceania
Iran,AS,Asia & Oceania
Ireland,EU,Europe
Israel,AS,Asia & Oceania
Italy,EU,Europe
Jamaica,NA,North America
Japan,AS,Asia & Oceania
Jordan,AS,Asia & Oceania
Kazakhstan,AS,Asia & Oceania
Latvia,EU,Europe
Lebanon,AS,Asia & Oceania
Lithuania,EU,Europe
Luxembourg,EU,Europe
Macedonia,EU,Europe
Madagascar,AF,Africa
Malaysia,AS,Asia & Oceania
Mexico,NA,North America
Morocco,AF,Africa
Netherlands,EU,Europe
Norway,EU,Europe
Panama,NA,North America
Peru,SA,Latin America & Caribbean
Philippines,AS,Asia & Oceania
Poland,EU,Europe
Portugal,EU,Europe
Puerto Rico,NA,North America
Qatar,AS,Asia & Oceania
Romania,EU,Europe
Russia,EU,Europe
Saudi Arabia,AS,Asia & Oceania
Senegal,AF,Africa
Singapore,AS,Asia & Oceania
Slovakia,EU,Europe
Slovenia,EU,Europe
South Africa,AF,Africa
South Korea,AS,Asia & Oceania
Spain,EU,Europe
Sudan,AF,Africa
Suriname,SA,Latin America & Caribbean
Sweden,EU,Europe
Switzerland,EU,Europe
Taiwan,AS,Asia & Oceania
Thailand,AS,Asia & Oceania
Trinidad and Tobago,NA,North America
Tunisia,AF,Africa
Turkey,AS,Asia & Oceania
Uganda,AF,Africa
United Arab Emirates,AS,Asia & Oceania
United Kingdom,EU,Europe
United States,NA,North America
Uruguay,SA,Latin America & Caribbean
Vietnam,AS,Asia & Oceania
Kosovo,EU,Europe
